grupo,numero,titulo_ptbr,capa_url,logo_url
categorias,11,Ficção científica,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-011-ficcao-cientifica.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-011-ficcao-cientifica.webp
categorias,12,Terror,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-012-terror.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-012-terror.webp
categorias,13,Fantasia,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-013-fantasia.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-013-fantasia.webp
categorias,14,Mistério,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-014-misterio.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-014-misterio.webp
categorias,15,Suspense,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-015-suspense.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-015-suspense.webp
categorias,16,Documentários,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-016-documentarios.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-016-documentarios.webp
categorias,17,Animações,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-017-animacoes.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-017-animacoes.webp
categorias,18,Faroestes,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-018-faroestes.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-018-faroestes.webp
categorias,19,Esportes,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-019-esportes.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-019-esportes.webp
categorias,20,Musicais,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-020-musicais.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-020-musicais.webp
categorias,21,Dramas coreanos,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-021-dramas-coreanos.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-021-dramas-coreanos.webp
categorias,22,Suspense de espionagem,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-022-suspense-de-espionagem.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-022-suspense-de-espionagem.webp
categorias,23,Guerra,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-023-guerra.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-023-guerra.webp
categorias,24,Aventura,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-024-aventura.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-024-aventura.webp
categorias,25,Família,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-025-familia.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-025-familia.webp
